año,mes,temp,precip,provincia
2012,1,13.812903225806451,256.2,AZUAY
2012,2,13.458620689655174,271.4,AZUAY
2012,3,13.193548387096774,177.2,AZUAY
2012,4,13.783333333333333,151.2,AZUAY
2012,5,12.806451612903226,92.5,AZUAY
2012,6,12.283333333333333,58.7,AZUAY
2012,7,11.667741935483871,68.1,AZUAY
2012,8,11.996774193548386,88.4,AZUAY
2012,9,12.483333333333333,76.4,AZUAY
2012,10,13.919354838709678,176.4,AZUAY
2012,11,14.603333333333333,235.2,AZUAY
2012,12,14.13225806451613,127.9,AZUAY
2013,1,14.245161290322581,125.5,AZUAY
2013,2,14.078571428571427,237.79999999999998,AZUAY
2013,3,14.261290322580646,188.7,AZUAY
2013,4,14.026666666666667,71.5,AZUAY
2013,5,13.883870967741935,112.8,AZUAY
2013,6,12.639999999999999,67.7,AZUAY
2013,7,11.422580645161291,108.8,AZUAY
2013,8,12.170967741935485,72.1,AZUAY
2013,9,12.876666666666667,46.0,AZUAY
2013,10,13.919354838709678,116.9,AZUAY
2013,11,14.663333333333332,179.70000000000002,AZUAY
2013,12,14.225806451612904,165.3,AZUAY
2014,1,14.003225806451614,199.5,AZUAY
2014,2,14.232142857142858,137.3,AZUAY
2014,3,13.896774193548387,246.9,AZUAY
2014,4,13.523333333333333,81.1,AZUAY
2014,5,13.87741935483871,163.9,AZUAY
2014,6,12.263333333333332,54.699999999999996,AZUAY
2014,7,11.783870967741937,69.7,AZUAY
2014,8,11.751612903225807,48.6,AZUAY
2014,9,13.45,34.9,AZUAY
2014,10,13.73225806451613,140.9,AZUAY
2014,11,14.286666666666667,251.29999999999998,AZUAY
2014,12,13.948387096774193,155.9,AZUAY
2015,1,13.506451612903225,174.0,AZUAY
2015,2,14.064285714285715,108.4,AZUAY
2015,3,14.14516129032258,257.4,AZUAY
2015,4,13.506666666666666,169.0,AZUAY
2015,5,13.419354838709678,80.8,AZUAY
2015,6,11.979999999999999,96.4,AZUAY
2015,7,12.23225806451613,64.6,AZUAY
2015,8,12.596774193548388,30.1,AZUAY
2015,9,13.856666666666666,31.700000000000003,AZUAY
2015,10,14.293548387096775,109.9,AZUAY
2015,11,14.786666666666667,79.4,AZUAY
2015,12,14.154838709677419,49.3,AZUAY
2016,1,15.654838709677419,141.1,AZUAY
2016,2,14.96896551724138,171.1,AZUAY
2016,3,14.98709677419355,191.6,AZUAY
2016,4,14.773333333333333,214.7,AZUAY
2016,5,13.98709677419355,101.6,AZUAY
2016,6,12.413333333333332,130.2,AZUAY
2016,7,12.125806451612902,43.7,AZUAY
2016,8,12.490322580645161,40.1,AZUAY
2016,9,13.66,46.2,AZUAY
2016,10,14.399999999999999,168.5,AZUAY
2016,11,14.843333333333334,151.9,AZUAY
2016,12,14.209677419354838,214.2,AZUAY
2017,1,13.290322580645162,175.4,AZUAY
2017,2,13.642857142857142,144.9,AZUAY
2017,3,13.7,191.5,AZUAY
2017,4,14.013333333333332,235.9,AZUAY
2017,5,13.812903225806451,175.2,AZUAY
2017,6,13.526666666666667,166.3,AZUAY
2017,7,12.574193548387097,119.6,AZUAY
2017,8,13.074193548387097,90.1,AZUAY
2017,9,13.639999999999999,125.0,AZUAY
2017,10,13.616129032258065,172.2,AZUAY
2017,11,13.75,80.1,AZUAY
2017,12,14.029032258064515,109.6,AZUAY
2018,1,13.374193548387098,172.1,AZUAY
2018,2,14.032142857142857,188.1,AZUAY
2018,3,14.306451612903226,120.2,AZUAY
2018,4,13.270000000000001,137.1,AZUAY
2018,5,13.348387096774195,257.6,AZUAY
2018,6,13.229999999999999,177.0,AZUAY
2018,7,13.009677419354839,110.10000000000001,AZUAY
2018,8,12.925806451612903,92.6,AZUAY
2018,9,13.376666666666667,95.89999999999999,AZUAY
2018,10,13.83548387096774,72.0,AZUAY
2018,11,14.083333333333334,105.2,AZUAY
2018,12,13.66451612903226,157.6,AZUAY
2019,1,13.983870967741936,187.5,AZUAY
2019,2,14.385714285714286,225.6,AZUAY
2019,3,14.493548387096775,276.7,AZUAY
2019,4,14.25,167.5,AZUAY
2019,5,13.73225806451613,183.1,AZUAY
2019,6,13.393333333333334,140.9,AZUAY
2019,7,12.974193548387097,151.3,AZUAY
2019,8,12.90967741935484,99.5,AZUAY
2019,9,13.736666666666668,76.8,AZUAY
2019,10,13.441935483870967,177.1,AZUAY
