producto_raw,precio_anterior,precio_actual,variacion,boletin_num,mes,año,quincena,quincena_id,provincia,categoria,estado_precio
Arroz Pilado Natural Grano Largo (qq),48.33,48.0,-1.0,165,12,2019,1,2019-12-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),60.0,58.67,-2.0,262,1,2024,1,2024-01-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),24.59,24.67,0.0,235,11,2022,1,2022-11-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),22.67,23.67,4.0,225,6,2022,1,2022-06-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.5,23.22,-1.0,201,6,2021,1,2021-06-Q1,AZUAY,no_perecedero,completo
Aceite Vegetal - Favorita (Caja aprox. 15 I),39.0,39.0,0.0,260,12,2023,1,2023-12-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),44.92,45.0,0.0,240,2,2023,1,2023-02-Q1,AZUAY,no_perecedero,completo
Aceite Vegetal - Favorita (Caja aprox. 15 I),36.0,36.0,0.0,265,4,2024,1,2024-04-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),45.0,45.0,0.0,246,5,2023,1,2023-05-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),37.44,34.66,-7.0,189,12,2020,1,2020-12-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),40.93,40.67,-1.0,179,7,2020,1,2020-07-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),34.09,31.67,-7.0,159,9,2019,1,2019-09-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),35.45,35.34,0.0,171,3,2020,1,2020-03-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),17.33,17.33,0.0,145,2,2019,1,2019-02-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.6,23.84,1.0,207,9,2021,1,2021-09-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),15.42,16.83,9.0,155,7,2019,1,2019-07-Q1,AZUAY,no_perecedero,completo
Aceite Vegetal - Favorita (Caja aprox. 15 l),54.0,53.25,-1.0,227,7,2022,1,2022-07-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),48.0,46.78,-3.0,217,2,2022,1,2022-02-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),48.0,47.33,-1.0,244,4,2023,1,2023-04-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50lb),18.0,17.08,-5.0,168,1,2020,2,2020-01-Q2,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),24.67,25.0,1.0,236,12,2022,1,2022-12-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.92,24.0,0.0,195,3,2021,1,2021-03-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),36.09,35.67,-1.0,199,5,2021,1,2021-05-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),16.75,17.5,5.0,164,11,2019,2,2019-11-Q2,AZUAY,no_perecedero,completo
Arveja Seca (qq),46.44,46.17,-1.0,221,4,2022,1,2022-04-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),61.33,58.33,-5.0,274,9,2024,1,2024-09-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),38.58,36.67,-5.0,183,9,2020,1,2020-09-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),48.0,46.0,-4.0,187,11,2020,1,2020-11-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),23.27,23.33,0.0,203,7,2021,1,2021-07-Q1,AZUAY,no_perecedero,completo
Avena Hojuelas (Saco aprox. 50 lb),22.67,22.84,1.0,223,5,2022,1,2022-05-Q1,AZUAY,no_perecedero,completo
Arroz Pilado Natural Grano Largo (qq),45.0,49.0,9.0,248,6,2023,1,2023-06-Q1,AZUAY,no_perecedero,completo
Arveja Seca (qq),37.75,35.0,-7.0,147,3,2019,1,2019-03-Q1,AZUAY,no_perecedero,completo
